# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec 16 09:44:13 2021
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%')
#
# COLUMN pl_name:        Planet Name 0
# COLUMN discoverymethod: Discovery Method 
# COLUMN pl_orbper:      Orbital Period [days] 2
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag 
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]) 6 
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius] 10
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass] 14
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity 18
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg] 22
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
#
pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim
CoRoT-16 b,Transit,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,13.110,1.790,-1.570,0,170.03200,27.01400,-26.37900,0,0.330000,0.090000,-0.100000,0,85.010,0.940,-1.200,0
CoRoT-17 b,Transit,3.76810000,0.00030000,-0.00030000,0,0.048100,0.001110,-0.000720,0,11.287,3.867,-1.031,0,781.86180,82.63580,-76.27920,0,,,,,89.300,0.700,-4.900,0
CoRoT-17 b,Transit,3.76810000,0.00030000,-0.00030000,0,0.048100,0.001500,-0.001600,0,11.433,0.785,-0.785,0,765.97030,85.81410,-82.63580,0,0.081000,,,1,88.300,1.500,-1.500,0
CoRoT-17 b,Transit,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,11.430,0.780,-0.780,0,772.29000,95.34000,-95.34000,0,0.000000,,,0,88.340,1.540,-1.540,0
CoRoT-18 b,Transit,1.90009000,0.00000050,-0.00000050,0,0.028800,0.000800,-0.000800,0,12.846,0.437,-0.538,0,1048.83900,60.38770,-60.38770,0,,,,,89.900,1.600,-1.600,0
CoRoT-18 b,Transit,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001500,-0.001700,0,14.684,2.018,-2.018,0,1099.69180,120.77540,-120.77540,0,0.025000,,,1,86.500,1.400,-0.900,0
CoRoT-18 b,Transit,1.90006930,0.00000280,-0.00000280,0,0.028600,0.000680,-0.000680,0,14.022,0.930,-0.930,0,1039.30410,54.03110,-54.03110,0,,,,,86.800,1.700,-1.700,0
CoRoT-18 b,Transit,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,14.680,2.020,-2.020,0,1102.82000,120.77000,-120.77000,0,0.080000,,,1,86.500,1.400,-0.900,0
CoRoT-19 b,Transit,3.89713000,0.00002000,-0.00002000,0,0.051660,0.000690,-0.000700,0,14.460,0.336,-0.336,0,367.09365,22.88376,-22.88376,0,0.056000,,,1,88.000,0.700,-0.700,0
CoRoT-19 b,Transit,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0,0.047000,0.045000,-0.045000,0,88.000,0.700,-0.700,0
CoRoT-19 b,Transit,3.89713000,0.00002000,-0.00002000,0,0.051200,0.001800,-0.001100,0,13.339,2.914,-0.773,0,346.43470,29.55819,-24.79074,0,,,,,89.700,0.300,-3.600,0
CoRoT-2 b,Transit,1.74299609,0.00000059,-0.00000059,0,,,,,16.533,0.347,-0.347,0,,,,,,,,,88.270,0.150,-0.150,0
